[2023-10-10 19:37:41.145] Opened database successfully
[2023-10-10 19:37:41.227] Table ANALOGS created successfully
[2023-10-10 19:37:41.253] Table BINARIES created successfully
[2023-10-10 19:37:42.003] Signal 0: 26
[2023-10-10 19:37:42.004] Signal 1: 0
[2023-10-10 19:37:42.005] Signal 2: 0
[2023-10-10 19:37:42.005] Signal 3: 2
[2023-10-10 19:37:42.006] Signal 4: 0
[2023-10-10 19:37:42.007] Signal 5: 1080
[2023-10-10 19:37:42.007] Signal 6: 0
[2023-10-10 19:37:42.008] Signal 7: 60673
[2023-10-10 19:37:42.009] Signal 8: 16383
[2023-10-10 19:37:42.009] Signal 9: 50
[2023-10-10 19:37:43.000] Signal 0: 26
[2023-10-10 19:37:43.000] Signal 1: 0
[2023-10-10 19:37:43.001] Signal 2: 0
[2023-10-10 19:37:43.001] Signal 3: 2
[2023-10-10 19:37:43.010] Signal 4: 0
[2023-10-10 19:37:43.011] Signal 5: 1080
[2023-10-10 19:37:43.011] Signal 6: 0
[2023-10-10 19:37:43.012] Signal 7: 60673
[2023-10-10 19:37:43.012] Signal 8: 16383
[2023-10-10 19:37:43.013] Signal 9: 50
[2023-10-10 19:37:44.000] Signal 0: 26
[2023-10-10 19:37:44.000] Signal 1: 0
[2023-10-10 19:37:44.001] Signal 2: 0
[2023-10-10 19:37:44.002] Signal 3: 2
[2023-10-10 19:37:44.002] Signal 4: 0
[2023-10-10 19:37:44.003] Signal 5: 1080
[2023-10-10 19:37:44.003] Signal 6: 0
[2023-10-10 19:37:44.004] Signal 7: 60673
[2023-10-10 19:37:44.004] Signal 8: 16383
[2023-10-10 19:37:44.004] Signal 9: 50
[2023-10-10 19:37:45.000] Signal 0: 26
[2023-10-10 19:37:45.000] Signal 1: 0
[2023-10-10 19:37:45.001] Signal 2: 0
[2023-10-10 19:37:45.001] Signal 3: 2
[2023-10-10 19:37:45.002] Signal 4: 0
[2023-10-10 19:37:45.002] Signal 5: 1080
[2023-10-10 19:37:45.003] Signal 6: 0
[2023-10-10 19:37:45.003] Signal 7: 60673
[2023-10-10 19:37:45.004] Signal 8: 16383
[2023-10-10 19:37:45.004] Signal 9: 50
[2023-10-10 19:37:46.000] Signal 0: 26
[2023-10-10 19:37:46.000] Signal 1: 0
[2023-10-10 19:37:46.001] Signal 2: 0
[2023-10-10 19:37:46.002] Signal 3: 2
[2023-10-10 19:37:46.002] Signal 4: 0
[2023-10-10 19:37:46.003] Signal 5: 1080
[2023-10-10 19:37:46.003] Signal 6: 0
[2023-10-10 19:37:46.004] Signal 7: 60673
[2023-10-10 19:37:46.004] Signal 8: 16383
[2023-10-10 19:37:46.005] Signal 9: 50
[2023-10-10 19:37:47.000] Signal 0: 26
[2023-10-10 19:37:47.000] Signal 1: 0
[2023-10-10 19:37:47.001] Signal 2: 0
[2023-10-10 19:37:47.001] Signal 3: 2
[2023-10-10 19:37:47.002] Signal 4: 0
[2023-10-10 19:37:47.003] Signal 5: 1080
[2023-10-10 19:37:47.003] Signal 6: 0
[2023-10-10 19:37:47.004] Signal 7: 60673
[2023-10-10 19:37:47.004] Signal 8: 16383
[2023-10-10 19:37:47.005] Signal 9: 50
[2023-10-10 19:37:48.000] Signal 0: 26
[2023-10-10 19:37:48.000] Signal 1: 0
[2023-10-10 19:37:48.001] Signal 2: 0
[2023-10-10 19:37:48.002] Signal 3: 2
[2023-10-10 19:37:48.002] Signal 4: 0
[2023-10-10 19:37:48.003] Signal 5: 1080
[2023-10-10 19:37:48.003] Signal 6: 0
[2023-10-10 19:37:48.004] Signal 7: 60673
[2023-10-10 19:37:48.004] Signal 8: 16383
[2023-10-10 19:37:48.005] Signal 9: 50
[2023-10-10 19:37:49.000] Signal 0: 26
[2023-10-10 19:37:49.000] Signal 1: 0
[2023-10-10 19:37:49.001] Signal 2: 0
[2023-10-10 19:37:49.002] Signal 3: 2
[2023-10-10 19:37:49.002] Signal 4: 0
[2023-10-10 19:37:49.002] Signal 5: 1080
[2023-10-10 19:37:49.003] Signal 6: 0
[2023-10-10 19:37:49.003] Signal 7: 60673
[2023-10-10 19:37:49.004] Signal 8: 16383
[2023-10-10 19:37:49.004] Signal 9: 50
[2023-10-10 19:37:50.002] Signal 0: 26
[2023-10-10 19:37:50.003] Signal 1: 0
[2023-10-10 19:37:50.004] Signal 2: 0
